2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,961 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,965 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,965 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,965 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,967 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,967 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,967 [WARNING] Query failed, no connection available
2025-11-26 05:09:36,968 [WARNING] Query failed, no connection available
2025-11-26 05:09:37,119 [WARNING] Query failed, no connection available
